users_id,users_first_name,users_last_name,users_email,user_gender,users_dob,user_str,users_zip,users_city,users_state,users_phone_no,users_type,chars1,chars2,chars3,chars4,syntax,user_type,emp_id
1,Margret,Walwood,mwalwood0@1688.com,F,2/5/1977,57 Troy Center,90035,Los Angeles,CA,323-974-0768,,(,"),","', ",',"('Margret', 'Walwood', 'mwalwood0@1688.com', 'F', '57 Troy Center', 90035, 'Los Angeles', 'CA', '323-974-0768', ),",3,
2,Marven,MacNally,mmacnally1@imdb.com,M,2/16/1974,0 Debra Parkway,79934,El Paso,TX,915-421-3712,,(,"),","', ",',"('Marven', 'MacNally', 'mmacnally1@imdb.com', 'M', '0 Debra Parkway', 79934, 'El Paso', 'TX', '915-421-3712', ),",3,
3,Skylar,Smiz,ssmiz2@liveinternet.ru,M,4/4/1968,9 7th Street,85015,Phoenix,AZ,602-598-9180,,(,"),","', ",',"('Skylar', 'Smiz', 'ssmiz2@liveinternet.ru', 'M', '9 7th Street', 85015, 'Phoenix', 'AZ', '602-598-9180', ),",3,
4,Lilli,Pinching,lpinching3@walmart.com,F,11/30/2002,362 Glacier Hill Hill,95219,Stockton,CA,209-166-1734,,(,"),","', ",',"('Lilli', 'Pinching', 'lpinching3@walmart.com', 'F', '362 Glacier Hill Hill', 95219, 'Stockton', 'CA', '209-166-1734', ),",3,
5,Sandro,Vasilevich,svasilevich4@imgur.com,M,7/12/1972,06256 Caliangt Place,61605,Peoria,IL,309-326-2879,,(,"),","', ",',"('Sandro', 'Vasilevich', 'svasilevich4@imgur.com', 'M', '06256 Caliangt Place', 61605, 'Peoria', 'IL', '309-326-2879', ),",3,
6,Nara,Sickamore,nsickamore5@washingtonpost.com,F,10/17/1999,8540 Moland Point,46867,Fort Wayne,IN,260-992-0778,,(,"),","', ",',"('Nara', 'Sickamore', 'nsickamore5@washingtonpost.com', 'F', '8540 Moland Point', 46867, 'Fort Wayne', 'IN', '260-992-0778', ),",3,
7,Austin,Deeble,adeeble6@abc.net.au,F,11/21/1976,187 Harper Way,70142,New Orleans,LA,504-976-0595,,(,"),","', ",',"('Austin', 'Deeble', 'adeeble6@abc.net.au', 'F', '187 Harper Way', 70142, 'New Orleans', 'LA', '504-976-0595', ),",3,
8,Myrta,Pitkeathley,mpitkeathley7@sfgate.com,F,10/18/1989,17 Ryan Circle,80920,Colorado Springs,CO,719-968-2975,,(,"),","', ",',"('Myrta', 'Pitkeathley', 'mpitkeathley7@sfgate.com', 'F', '17 Ryan Circle', 80920, 'Colorado Springs', 'CO', '719-968-2975', ),",2,20001
9,Marita,Terrazzo,mterrazzo8@paginegialle.it,F,9/8/1983,57877 Mockingbird Lane,93094,Simi Valley,CA,805-224-4200,,(,"),","', ",',"('Marita', 'Terrazzo', 'mterrazzo8@paginegialle.it', 'F', '57877 Mockingbird Lane', 93094, 'Simi Valley', 'CA', '805-224-4200', ),",2,20002
10,Hedy,Di Lucia,hdilucia9@lycos.com,F,5/20/1998,4584 Mallory Center,90505,Torrance,CA,310-672-3246,,(,"),","', ",',"('Hedy', 'Di Lucia', 'hdilucia9@lycos.com', 'F', '4584 Mallory Center', 90505, 'Torrance', 'CA', '310-672-3246', ),",2,20003
11,Nana,Morais,nmoraisa@etsy.com,F,11/11/1957,3 Fairfield Circle,78732,Austin,TX,512-361-4084,,(,"),","', ",',"('Nana', 'Morais', 'nmoraisa@etsy.com', 'F', '3 Fairfield Circle', 78732, 'Austin', 'TX', '512-361-4084', ),",2,20004
12,Isa,Coppeard,icoppeardb@w3.org,F,5/19/1959,768 Golf View Crossing,32244,Jacksonville,FL,904-926-5197,,(,"),","', ",',"('Isa', 'Coppeard', 'icoppeardb@w3.org', 'F', '768 Golf View Crossing', 32244, 'Jacksonville', 'FL', '904-926-5197', ),",3,
13,Danya,Chat,dchatc@blog.com,F,3/20/1964,28280 Logan Crossing,2203,Boston,MA,617-733-1577,,(,"),","', ",',"('Danya', 'Chat', 'dchatc@blog.com', 'F', '28280 Logan Crossing', 2203, 'Boston', 'MA', '617-733-1577', ),",3,
14,Chane,McMeekan,cmcmeekand@tamu.edu,M,1/29/1985,0 Amoth Junction,20910,Silver Spring,MD,301-407-0387,,(,"),","', ",',"('Chane', 'McMeekan', 'cmcmeekand@tamu.edu', 'M', '0 Amoth Junction', 20910, 'Silver Spring', 'MD', '301-407-0387', ),",3,
15,Homere,Ellwand,hellwande@accuweather.com,M,4/13/1984,41 Riverside Trail,73114,Oklahoma City,OK,405-438-0484,,(,"),","', ",',"('Homere', 'Ellwand', 'hellwande@accuweather.com', 'M', '41 Riverside Trail', 73114, 'Oklahoma City', 'OK', '405-438-0484', ),",3,
16,Lorant,Reolfi,lreolfif@sciencedaily.com,M,5/15/1950,275 Dahle Street,14233,Buffalo,NY,716-363-1617,,(,"),","', ",',"('Lorant', 'Reolfi', 'lreolfif@sciencedaily.com', 'M', '275 Dahle Street', 14233, 'Buffalo', 'NY', '716-363-1617', ),",3,
17,Gery,Elloit,gelloitg@artisteer.com,M,4/20/1976,3203 Hauk Way,31914,Columbus,GA,706-582-3067,,(,"),","', ",',"('Gery', 'Elloit', 'gelloitg@artisteer.com', 'M', '3203 Hauk Way', 31914, 'Columbus', 'GA', '706-582-3067', ),",3,
18,Harbert,Baelde,hbaeldeh@tinypic.com,M,2/1/1960,421 Golf Course Road,40524,Lexington,KY,859-497-2427,,(,"),","', ",',"('Harbert', 'Baelde', 'hbaeldeh@tinypic.com', 'M', '421 Golf Course Road', 40524, 'Lexington', 'KY', '859-497-2427', ),",3,
19,Bogart,Kennagh,bkennaghi@xing.com,M,10/15/1959,3 Jenna Parkway,75260,Dallas,TX,214-551-7180,,(,"),","', ",',"('Bogart', 'Kennagh', 'bkennaghi@xing.com', 'M', '3 Jenna Parkway', 75260, 'Dallas', 'TX', '214-551-7180', ),",3,
20,Raimundo,Oram,roramj@homestead.com,M,2/15/1997,06 Grover Street,97286,Portland,OR,503-844-1785,,(,"),","', ",',"('Raimundo', 'Oram', 'roramj@homestead.com', 'M', '06 Grover Street', 97286, 'Portland', 'OR', '503-844-1785', ),",1,10001
